aut-1 佛陀耶舍
aut-10 達摩笈多
aut-100 逹摩笈多
aut-101 豆那掘多
aut-102 那提
aut-103 沮渠京聲
aut-104 法場
aut-105 曇摩耶舍
aut-106 僧伽羅剎
aut-107 達摩多羅
aut-108 佛陀斯那
aut-109 佛陀蜜多
aut-11 瞿曇僧伽堤婆
aut-110 先公
aut-111 闍那耶舍
aut-112 寶思惟
aut-113 法天
aut-114 大勇
aut-115 僧伽跋摩
aut-116 馬鳴
aut-117 觀無畏
aut-118 曇景
aut-119 嚴佛調
aut-12 法炬
aut-120 勿提提犀魚
aut-121 迦葉摩騰
aut-122 竺法蘭
aut-123 若羅嚴
aut-124 菩提燈
aut-125 佛陀多羅
aut-126 善無畏
aut-127 菩提金剛
aut-128 輸波迦羅
aut-129 法全
aut-13 鳩摩羅什
aut-130 惟謹
aut-131 義操
aut-132 金剛智
aut-133 惠果
aut-134 慧琳
aut-135 一行
aut-136 善護
aut-137 工布査布
aut-138 阿旺札什
aut-139 喇嚇嘛卜楚薩木丹達爾吉
aut-14 曇無讖
aut-140 達喇嘛薩穆丹達爾吉
aut-141 般刺蜜帝
aut-142 𧦪弘
aut-143 達磨栖那
aut-144 尸羅跋陀羅
aut-145 佛陀波利
aut-146 若那
aut-147 沙囉巴
aut-148 指空
aut-149 牟尼室利
aut-15 慧簡
aut-150 支謙
aut-151 不空
aut-152 彌陀山
aut-153 智通
aut-154 難提
aut-155 慧智
aut-156 伽梵逹摩
aut-157 蘇嚩羅
aut-158 耶舍崛多
aut-159 解脫師子
aut-16 竺法護
aut-160 慈賢
aut-161 阿目佉
aut-162 菩提流志
aut-163 菩提仙
aut-164 釋智
aut-165 智慧
aut-166 不空
aut-167 海雲
aut-168 空蜝
aut-169 阿質達霰
aut-17 求那毗地
aut-170 法護
aut-171 般若斫羯羅
aut-172 瞿多
aut-173 含光
aut-174 憬瑟
aut-175 般若惹羯羅
aut-176 般若力
aut-177 神愷
aut-178 阿謨伽
aut-179 大興善寺翻經院阿闍梨[不空]
aut-18 求那跋陀羅
aut-180 翻經院阿闍梨[不空]
aut-181 金俱吒
aut-182 跋馱木阿
aut-183 帛尸梨蜜多羅
aut-184 曇曜
aut-185 世親
aut-186 智威
aut-187 曇無蘭
aut-188 慈賢
aut-189 佛陀什
aut-19 瞿曇法智
aut-190 明徽
aut-191 愛同
aut-192 覺賢
aut-193 曇諦
aut-194 求那跋摩
aut-195 弗若多羅
aut-196 羅什
aut-197 僧璩
aut-198 義淨
aut-199 勝友
aut-2 竺佛念
aut-20 天息災
aut-200 毗舍佉
aut-201 弗陀多羅多
aut-202 僧伽跋陀羅
aut-203 法海
aut-204 笈多
aut-205 彌勒
aut-206 慈氏
aut-207 婆素跋陀
aut-208 鳩摩羅佛提
aut-209 山賢
aut-21 眞諦
aut-210 僧伽提婆
aut-211 龍樹
aut-212 無著
aut-213 天親
aut-214 金剛仙
aut-215 世親
aut-216 功德施
aut-217 勝德赤衣
aut-218 三寶尊
aut-219 大域龍
aut-22 義淨
aut-220 大域龍
aut-221 婆藪槃豆
aut-222 勒那摩提
aut-223 天親
aut-224 毗目智仙
aut-225 逹磨菩提
aut-226 天親
aut-227 眞諦
aut-228 親光
aut-229 天親
aut-23 玄奘
aut-230 舍利子
aut-231 大目乾連
aut-232 提婆設摩
aut-233 世友
aut-234 菩提耶舍
aut-235 迦旃延子
aut-236 僧伽提婆
aut-237 迦多衍尼子
aut-238 浮陀跋摩
aut-239 尸陀槃尼
aut-24 康僧會
aut-240 迦旃延子
aut-241 曇摩耶舍
aut-242 曇摩崛多
aut-243 婆須蜜
aut-244 法勝
aut-245 優波扇多
aut-246 那連提耶舍
aut-247 僧伽跋摩
