naut-813 禧會
resp104 纂釋
aut-79 吉迦夜
aut-445 信瑞
aut-376 費長房
naut-1057 編
resp200 彙箋
naut-888 清澤
aut-155 慧智
aut-197 僧V
aut-190 明徽
resp175 正
aut-226 天親
naut-73 志寧釐經合論
resp65 解釋
source26 source26 source26 None
naut-711 守詮
aut-473 良算
naut-700 普敬
naut-391 明昱錄
naut-880 道彰
date23 明
naut-448 義銛
naut-1004 道彝
aut-296 管主八
naut-174 元曉
naut-24 龍樹菩薩造
resp66 科會
naut-438 元悟
naut-7 唐僧鎧
aut-172 瞿多
resp227 頌古
naut-271 王澤泩
naut-1142 心圓
resp43 分會
naut-173 吉藏撰
aut-244 法勝
resp194 傳
naut-453 克勤
resp49 譯竝解述
naut-90 孝宗帝
naut-576 乘戒
aut-406 道世
aut-192 覺賢
ndiv-16 淨土論疏
naut-871 雲岑
naut-584 寬量
naut-523 儀潤
resp136 序
aut-451 賴瑜
aut-245 優波扇多
naut-1105 明河
source17 source17 source17 None
aut-545 仁海
naut-715 法慧
aut-243 婆須蜜
naut-1045 太靖
aut-227 眞諦
naut-135 溥畹
naut-172 胡
naut-344 智旭輯
aut-479 珍海
naut-473 義天
naut-1137 際源
resp221 編正
naut-1018 信悟
resp250 第編
naut-751 文謙
naut-234 翁春
naut-331 寂光直
naut-1003 護位
aut-561 慧印
naut-93 智聰
naut-296 智祥
naut-158 從義
naut-387 靈泰
resp182 錄出
naut-384 明昱
naut-206 法崇
naut-942 元寶
naut-688 智本
naut-1120 李遵勗
naut-364 曇延
naut-881 從心
naut-144 僧肇
naut-1112 士衡
naut-506 彥起
aut-23 玄奘
aut-535 眞盛
aut-466 法幢
naut-615 大建
naut-552 濟能
aut-287 龍猛
naut-5 般若
aut-342 普泰
naut-968 宗遠
source13 source13 source13 None
source23 source23 source23 None
naut-865 彌安
naut-811 法光
naut-680 秀人錢密
aut-94 曇無竭
aut-498 親圓
naut-936 得度
naut-213 徐行善
naut-418 梁肅
naut-209 葛[鼎*彗]提
naut-525 超遠檢
naut-1176 佐佐木憲德
role-53 侍者門人
naut-901 淨伏、(門人)
naut-202 工布查布譯竝解
aut-214 金剛仙
resp9 述
aut-644 慶吉祥
naut-78 遵式
naut-203 一行述
naut-926 清欲
naut-665 圓通
aut-629 信Ω
resp252 選
naut-52 同譯
naut-727 崇裕
naut-570 德眞
naut-1166 靈操撰
naut-1063 善清
naut-1169 段成式
ndiv-50 禪宗
naut-434 義眞
aut-280 德慧
naut-764 正賢
aut-565 證空
resp50 敕撰
role-62 首座
resp166 輯編
aut-141 般刺蜜帝
aut-375 世友
naut-136 濟時
naut-94 如山
ndiv-19 釋摩訶衍論疏(附大宗地玄文本論略註)
resp151 編輯
naut-660 眞在
naut-151 窺基
naut-326 大賢
date17 元魏
naut-608 清覺
naut-843 慧澄
date5 東晉
naut-675 樓[(匕/示)*頁]
naut-106 惟愍科可度
aut-133 惠果
naut-124 傳如
resp93 繹
naut-62 靈辨
naut-295 淨昇
naut-581 弟子節鈔
naut-375 楊文會
naut-810 無補
aut-568 從覺
naut-572 程兆鸞錄
resp184 會
naut-564 妙空子
aut-131 義操
naut-164 元照
resp235 校勘
naut-503 施堯挺
aut-182 跋馱木阿
naut-623 胡文煥
date37 周
naut-695 有宗
naut-352 大覺
naut-508 良信
aut-592 曇曠
ndiv-31 唯識論疏
naut-10 佛陀波利
resp238 閱
resp187 決答
naut-469 宗豫
naut-639 德弘編
aut-413 迦毗羅
aut-96 謝靈運
aut-313 慧遠
aut-347 諦觀
aut-299 吉藏
naut-786 了能
naut-632 性統
naut-947 清逸
aut-321 大賢
aut-284 優波底沙
source9 source9 source9 None
source25 source25 source25 None
naut-19 施護
naut-914 思敬
aut-13 鳩摩羅什
naut-79 淨源錄疏注經
naut-31 一行
ndiv-27 瑜伽論疏
naut-992 善成
aut-33 闍那崛多
naut-516 守一
naut-834 妙恩
naut-605 明本
aut-173 含光
aut-378 念常
aut-578 日蓮
naut-80 鮮演
aut-76 地婆訶羅
aut-298 窺基
aut-224 毗目智仙
naut-798 德溢
naut-280 道暹
naut-159 宗曉
aut-444 喜海
naut-1055 明凡
naut-743 善之
naut-1122 惠洪
naut-755 可能
aut-295 戒日王
resp117 錄疏注經
naut-528 彭紹升
aut-56 眞諦
resp10 造論
aut-92 支謙
naut-168 元奇
naut-616 張文嘉
aut-117 觀無畏
naut-215 覺連
naut-474 希[廷-壬+由]註
aut-354 潛眞]
aut-264 清辯
aut-449 宥範
aut-509 覺盛
resp1 unknown
naut-319 淨挺
naut-954 惟寂
naut-122 觀衡
naut-330 道昉訂
resp160 編述
aut-437 明一
naut-497 神愷
naut-487 圓照
naut-799 惟俊
aut-575 隆寬
aut-270 勒那摩提
naut-844 銳彰
naut-1157 道融
resp57 解註
naut-672 郭凝之
naut-13 法月重
naut-118 錢謙益
aut-346 慧思
resp186 決義
aut-635 承澄
naut-1116 王古輯
naut-1172 常謹
naut-750 慧行
naut-452 自慶
naut-592 文益
naut-323 義寂
ndiv-32 觀所緣緣論疏
naut-547 嚴培西
naut-654 從倫
resp37 纂述
resp21 註
naut-1173 非濁集
aut-359 普度
resp120 治定
resp114 略解
naut-477 惟白
aut-427 宗叡
naut-1130 文琇
resp123 擷
resp116 註序
resp225 拈古
aut-532 了惠
aut-9 闍那崛多
aut-471 增賀
naut-1033 如玉
resp69 句
naut-500 海雲
resp217 傳譯
resp215 節鈔
aut-319 智旭
ndiv-20 金剛頂菩提心論疏
naut-565 戒香
ndiv-18 起信論疏
aut-122 竺法蘭
naut-171 靈[亢-几+桀]
naut-400 文軌
aut-344 明˙
resp70 節
aut-370 智徹
naut-842 德修
resp188 問
aut-50 無羅叉
date8 隋
naut-245 孚佑帝君
naut-741 行佑
aut-428 安然
aut-361 ©宏
aut-335 法寶
aut-443 湛叡
naut-618 行盛
naut-465 希迪
naut-108 正受會合
naut-535 王日休
resp199 訂閱
naut-150 楊起元評
naut-620 智昭
naut-1165 朴永善
aut-415 拂多誕
naut-892 住顯
naut-960 思齊
naut-355 慧門等
aut-38 馬鳴
naut-88 觀復
naut-1147 弘儲
naut-1161 無慍
naut-1140 通醉
aut-187 曇無蘭
naut-281 智度
naut-361 永海
resp130 補作
resp193 拔出
resp169 語
aut-583 信範
aut-140 達喇嘛薩穆丹達爾吉
naut-444 與咸
resp84 會疏
aut-598 法成]
aut-195 弗若多羅
naut-683 慧弼
aut-3 法天
naut-283 道威入
resp102 抄撰
naut-775 懷珠
naut-462 道亭
naut-1123 自融
naut-1125 寶曇
naut-414 善漳等錄
naut-541 一念
naut-724 延俊
aut-186 智威
aut-447 良忠
aut-551 實運
naut-795 可宣
naut-1030 文素
naut-671 圓信
naut-773 士洵
naut-49 善護尊者造
naut-253 眞貴
naut-1035 祖日
aut-432 平祚
aut-418 靖邁
naut-870 處林
naut-533 善道
naut-583 德潤
naut-670 師明
resp190 集錄
naut-345 德基
naut-298 一松講
naut-624 普照
naut-852 希革
naut-877 昭如
aut-516 忠尋
aut-429 圓超
aut-15 慧簡
naut-774 德高
naut-650 克勤擊節
naut-1101 念常
naut-262 道隆
aut-137 工布査布
naut-876 機雲
naut-544 正寂
naut-845 心寧
naut-555 悟開
aut-367 玄覺
resp38 宗通
naut-162 來舟
naut-780 元省
aut-177 神愷
naut-302 智周
naut-1184 慧祥
naut-1153 悟進
naut-985 景瓛
naut-919 文闡
naut-612 元來說、成正
naut-640 大香
aut-269 堅慧
naut-491 含光
ndiv-15 疑似雜僞律疏
naut-84 道通
naut-507 慧光
naut-776 道[冰-水+中]
source6 source6 source6 None
resp47 書
aut-170 法護
aut-169 阿質達霰
naut-1138 了貞
naut-785 道巖
naut-1115 道詵
aut-301 子ṇ
naut-707 光祖
resp99 改錄
resp127 遺
naut-489 慧琳
aut-563 聖覺
naut-1076 戒度注
naut-924 本光
aut-268 無性
naut-1104 寶唱
naut-442 戒珠
naut-228 徐昌治
resp156 表
naut-904 妙心
aut-499 景雅
resp26 集註
aut-285 淨意
naut-784 師肇
naut-900 祖森
naut-184 實觀
naut-26 禪那崛多別譯
naut-353 後唐
naut-860 繼燖
naut-1186 張商英
naut-110 袾宏
naut-458 杜順
aut-52 月婆首那
aut-114 大勇
naut-1042 道璞
naut-378 均正
naut-300 佛閑立科、智一拾
naut-180 王耕心衷
aut-474 光胤
aut-109 佛陀蜜多
aut-222 勒那摩提
naut-133 行策
naut-917 本眞
naut-100 通理
naut-792 智能
resp25 錄
naut-635 行海
naut-883 
naut-325 知周
date14 前秦
naut-549 周克復
naut-657 行秀
naut-77 澄觀別行疏、宗密
naut-966 思謙
aut-64 智慧輪
naut-908 具德
naut-289 一如
aut-407 道誠
resp195 輯敘
naut-995 觀通
naut-1158 曇秀
resp232 御選
naut-146 智顗
aut-508 實範
aut-6 法顯
aut-2 竺佛念
naut-198 鄭澄德
naut-853 彌紹
naut-701 普通
aut-390 覺訓
naut-457 性權
naut-155 明得
date10 劉宋
resp44 演義
aut-231 大目乾連
resp167 抄
date6 後漢
naut-641 法應
aut-647 徹定
resp246 錄撰
naut-188 戒度記
naut-258 明曠
naut-119 凌弘憲點
naut-1047 興燈
aut-85 竺難提
naut-256 靖邁
naut-1044 成正
aut-537 成尊
ndiv-33 俱舍竝順正論疏
ndiv-35 遺教經論疏
ndiv-53 雜傳二
aut-207 婆素跋陀
